time,200,500,422,400,302,404 
0,14,6,10,5,5,13 
10,69,22,28,14,14,45 
20,313,95,90,45,45,191 
30,346,114,214,107,107,228 
40,352,114,228,114,114,228 
50,354,114,228,114,114,228 
60,354,114,228,114,114,228 
70,355,114,228,114,114,228 
