time,size_sent,size_rcv 
0,4.26015625,18.0484375 
10,31.73515625,170.95234375 
20,158.85234375,785.20625 
30,198.61640625,1060.13203125 
40,27.4109375,382.88203125 
50,2.6921875,168.2484375 
60,0,0 
70,0.4484375,28.04140625 
