time,200,500,422,400,302,404 
0,0.7,0.2,,,,0.4 
10,4.8,0.7,0.8,0.4,0.4,1.8 
20,15.3,5.2,5.6,2.8,2.7,9.8 
30,13.4,3.9,11.6,5.8,5.9,7.8 
40,1.3,0.1,2.2,1.1,1.1,0.4 
50,0.6,0,0,0,0,0 
60,0,0,0,0,0,0 
70,0.1,0,0,0,0,0 
